house_id,latitude,longitude,maintenance_year,square,population,region,locality_name,address,full_address,communal_service_id,description
1,44.707617,43.006476,1974,2 661.10,89,Ставропольский край,село Александровское,"с. Александровское, ул. Войтика, д. 31","Ставропольский край, р-н. Александровский, с. Александровское, ул. Войтика, д. 31",1.0,"Жилой дом в , по адресу с. Александровское, ул. Войтика, д. 31, 1974 года постройки, под управлением УК «Жилсервис»."
2,44.706720000000004,43.005281,1989,3 111.10,115,Ставропольский край,село Александровское,"с. Александровское, ул. Войтика, д. 39","Ставропольский край, р-н. Александровский, с. Александровское, ул. Войтика, д. 39",1.0,"Жилой дом в , по адресу с. Александровское, ул. Войтика, д. 39, 1989 года постройки, под управлением УК «Жилсервис»."
3,44.708302,43.006665000000005,1977,2 896.04,89,Ставропольский край,село Александровское,"с. Александровское, ул. Калинина, д. 25","Ставропольский край, р-н. Александровский, с. Александровское, ул. Калинина, д. 25",1.0,"Жилой дом в , по адресу с. Александровское, ул. Калинина, д. 25, 1977 года постройки, под управлением УК «Жилсервис»."
4,44.711946999999995,42.97358,,620.00,30,Ставропольский край,село Александровское,"с. Александровское, ул. Советская, д. 96","Ставропольский край, р-н. Александровский, с. Александровское, ул. Советская, д. 96",1.0,"Жилой дом в , по адресу с. Александровское, ул. Советская, д. 96, под управлением УК «Жилсервис»."
5,44.711946999999995,42.97358,1978,1 061.92,26,Ставропольский край,село Александровское,"с. Александровское, ул. Советская, д. 97","Ставропольский край, р-н. Александровский, с. Александровское, ул. Советская, д. 97",1.0,"Жилой дом в , по адресу с. Александровское, ул. Советская, д. 97, 1978 года постройки, под управлением УК «Жилсервис»."
6,44.707751,43.005515,1978,2 688.70,105,Ставропольский край,село Александровское,"с. Александровское, ул. Войтика, д. 29","Ставропольский край, р-н. Александровский, с. Александровское, ул. Войтика, д. 29",2.0,"Жилой дом в , по адресу с. Александровское, ул. Войтика, д. 29, 1978 года постройки, под управлением ТСЖ «Виктория»."
7,44.711946999999995,42.97358,1973,854.90,40,Ставропольский край,село Александровское,"с. Александровское, ул. Советская, д. 100","Ставропольский край, р-н. Александровский, с. Александровское, ул. Советская, д. 100",3.0,"Жилой дом в , по адресу с. Александровское, ул. Советская, д. 100, 1973 года постройки, под управлением ТСЖ «Изумруд»."
8,44.723622999999996,42.996864,1978,924.40,31,Ставропольский край,село Александровское,"с. Александровское, ул. Заводская, д. 21","Ставропольский край, р-н. Александровский, с. Александровское, ул. Заводская, д. 21",4.0,"Жилой дом в , по адресу с. Александровское, ул. Заводская, д. 21, 1978 года постройки, под управлением ТСЖ «Луч»."
9,44.721765999999995,43.02013,1974,1 011.30,38,Ставропольский край,село Александровское,"с. Александровское, ул. Пионерская, д. 92","Ставропольский край, р-н. Александровский, с. Александровское, ул. Пионерская, д. 92",5.0,"Жилой дом в , по адресу с. Александровское, ул. Пионерская, д. 92, 1974 года постройки, под управлением ТСЖ «Рассвет»."
10,55.060199,32.695577,1953,585.60,18,Смоленская область,Ярцево,"ул. Братьев Шаршановых, д. 61","Смоленская область, Ярцево, ул. Братьев Шаршановых, д. 61",,	"Жилой дом в Ярцево, по адресу ул. Братьев Шаршановых, д. 61, 1953 года постройки, под управлением ТСЖ «Шаршановых»."
